:Product: Daily Particle Data        1994_DPD.txt
:Issued: 0223 UT 22 Jul 1997
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                      1994 Daily Particle Data
#

               GOES-7 Proton Fluence       GOES-7 Electron Fluence      Neutron
             --- Protons/cm2-day-sr ---   -- Electrons/cm2-day-sr --    Monitor
   Date       >1 MeV  >10 MeV  >100 MeV          >2 MeV               % of bkgd
10 Nov 94   -1.0e+05  1.0e+04  2.4e+03           6.3e+06                  0.3 %
11 Nov 94   -1.0e+05  1.1e+04  2.6e+03           1.3e+07                 -0.2 %
12 Nov 94   -1.0e+05  1.1e+04  2.3e+03           1.3e+07                 -0.2 %
13 Nov 94   -1.0e+05  1.0e+04  2.5e+03           1.3e+07                 -0.4 %
14 Nov 94   -1.0e+05  1.1e+04  2.4e+03           1.0e+07                  0.0 %
15 Nov 94   -1.0e+05  1.1e+04  2.3e+03           4.0e+06                  0.0 %
16 Nov 94   -1.0e+05  1.1e+04  2.4e+03           5.3e+06                 -0.2 %
17 Nov 94   -1.0e+05  1.2e+04  2.7e+03           8.0e+06                  0.2 %
18 Nov 94   -1.0e+05  1.2e+04  2.6e+03           4.2e+06                  0.6 %
19 Nov 94   -1.0e+05  1.1e+04  2.8e+03           1.8e+06                  0.7 %
20 Nov 94   -1.0e+05  1.2e+04  3.0e+03           1.8e+07                  0.2 %
21 Nov 94   -1.0e+05  1.2e+04  2.7e+03           4.1e+07                  0.2 %
22 Nov 94   -1.0e+05  1.2e+04  2.8e+03           4.5e+07                  0.3 %
23 Nov 94   -1.0e+05  1.1e+04  3.0e+03           4.9e+07                  0.5 %
24 Nov 94   -1.0e+05  1.2e+04  2.9e+03           1.7e+07                  0.5 %
25 Nov 94   -1.0e+05  1.2e+04  2.9e+03           6.1e+06                  0.1 %
26 Nov 94   -1.0e+05  1.2e+04  2.7e+03           2.1e+06                 -0.7 %
27 Nov 94   -1.0e+05 -1.0e+05 -1.0e+05          -1.0e+05                    *
28 Nov 94   -1.0e+05 -1.0e+05 -1.0e+05          -1.0e+05                    *
29 Nov 94   -1.0e+05 -1.0e+05 -1.0e+05          -1.0e+05                    *
30 Nov 94   -1.0e+05  1.2e+04  2.4e+03           1.6e+08                 -0.3 %
01 Dec 94   -1.0e+05  1.1e+04  2.5e+03           2.1e+08                 -0.3 %
02 Dec 94   -1.0e+05  1.4e+04  3.2e+03           1.4e+08                 -1.0 %
03 Dec 94   -1.0e+05  1.0e+04  2.4e+03           2.4e+08                 -0.5 %
04 Dec 94   -1.0e+05  1.1e+04  2.5e+03           2.7e+08                  0.2 %
05 Dec 94   -1.0e+05  1.1e+04  2.5e+03           1.5e+08                  0.3 %
06 Dec 94   -1.0e+05  1.1e+04  2.3e+03           6.8e+06                  0.1 %
07 Dec 94   -1.0e+05  1.1e+04  2.3e+03           3.8e+07                  0.1 %
08 Dec 94   -1.0e+05  1.1e+04  2.3e+03           1.4e+08                  0.0 %
09 Dec 94   -1.0e+05  1.1e+04  2.3e+03           1.4e+08                 -0.1 %
10 Dec 94   -1.0e+05  1.1e+04  2.4e+03           6.1e+07                 -0.1 %
11 Dec 94   -1.0e+05  1.1e+04  2.4e+03           6.3e+07                 -0.4 %
12 Dec 94   -1.0e+05  1.2e+04  2.4e+03           7.4e+06                 -0.3 %
13 Dec 94   -1.0e+05  1.1e+04  2.4e+03           3.3e+07                  0.1 %
14 Dec 94   -1.0e+05  1.1e+04  2.3e+03           4.3e+07                  0.1 %
15 Dec 94   -1.0e+05  1.2e+04  2.4e+03           9.4e+06                  0.2 %
16 Dec 94   -1.0e+05  1.1e+04  2.3e+03           3.7e+07                 -0.1 %
17 Dec 94   -1.0e+05  1.1e+04  2.4e+03           6.6e+07                  0.2 %
18 Dec 94   -1.0e+05  1.2e+04  2.6e+03           5.3e+07                  0.5 %
19 Dec 94   -1.0e+05  1.2e+04  2.7e+03           1.9e+07                  0.4 %
20 Dec 94   -1.0e+05  1.1e+04  2.6e+03           4.2e+06                  0.0 %
21 Dec 94   -1.0e+05 -1.0e+05 -1.0e+05          -1.0e+05                    *
22 Dec 94   -1.0e+05  1.1e+04  2.6e+03           4.3e+06                  0.2 %
23 Dec 94   -1.0e+05  1.1e+04  2.7e+03           4.3e+06                  0.3 %
24 Dec 94   -1.0e+05  1.1e+04  2.4e+03           8.1e+06                 -0.5 %
25 Dec 94   -1.0e+05  1.1e+04  2.4e+03           8.2e+07                 -0.4 %
26 Dec 94   -1.0e+05  1.0e+04  2.4e+03           2.1e+08                 -0.4 %
27 Dec 94   -1.0e+05  1.1e+04  2.6e+03           5.3e+07                 -0.8 %
28 Dec 94   -1.0e+05  1.1e+04  2.4e+03           5.0e+07                 -0.3 %
29 Dec 94   -1.0e+05  1.0e+04  2.5e+03           1.3e+07                 -0.6 %
30 Dec 94   -1.0e+05  1.1e+04  2.3e+03           1.3e+07                 -0.1 %
31 Dec 94   -1.0e+05 -1.0e+05 -1.0e+05          -1.0e+05                    *

