:Product: Daily Particle Data        2017_DPD.txt
:Issued: 0223 UT 07 Apr 2017
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                        2017 Daily Particle Data
#
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2017 10 14    3.5e+07  1.5e+04  3.2e+03   6.5e+09    7.6e+08          -999.99
2017 10 15    5.9e+07  1.4e+04  3.3e+03   6.5e+09    1.1e+09          -999.99
2017 10 16    8.8e+06  1.4e+04  3.5e+03   6.7e+09    1.2e+09          -999.99
2017 10 17    2.8e+07  1.4e+04  3.6e+03   1.1e+10    2.6e+09          -999.99
2017 10 18    3.2e+06  1.5e+04  3.8e+03   1.1e+10    2.9e+09          -999.99
2017 10 19    2.0e+07  1.6e+04  3.5e+03   2.1e+09    2.1e+08          -999.99
2017 10 20    8.8e+06  1.5e+04  3.5e+03   1.5e+09    2.5e+07          -999.99
2017 10 21    1.2e+07  1.4e+04  3.3e+03   1.9e+09    8.6e+07          -999.99
2017 10 22    2.5e+06  1.4e+04  3.3e+03   5.4e+08    9.1e+06          -999.99
2017 10 23    2.3e+07  1.4e+04  3.4e+03   6.6e+08    1.8e+07          -999.99
2017 10 24    7.6e+07  1.4e+04  3.2e+03   6.7e+08    2.8e+07          -999.99
2017 10 25    1.1e+07  1.4e+04  3.1e+03   2.4e+09    3.5e+07          -999.99
2017 10 26    2.9e+08  1.5e+04  3.4e+03   3.0e+09    7.2e+07          -999.99
2017 10 27    2.1e+07  1.5e+04  3.6e+03   3.4e+09    7.5e+07          -999.99
2017 10 28    5.9e+06  1.4e+04  3.5e+03   3.5e+09    1.1e+08          -999.99
2017 10 29    1.8e+08  1.4e+04  3.3e+03   3.5e+09    1.5e+08          -999.99
2017 10 30    1.0e+07  1.5e+04  3.3e+03   3.5e+09    2.0e+08          -999.99
2017 10 31    3.0e+06  1.5e+04  3.6e+03   3.1e+09    1.7e+08          -999.99
2017 11 01    7.4e+06  1.5e+04  3.8e+03   1.8e+09    6.9e+07          -999.99
2017 11 02    2.2e+07  1.6e+04  3.5e+03   4.0e+08    4.2e+06          -999.99
2017 11 03    1.9e+07  1.5e+04  3.5e+03   2.1e+08    1.6e+06          -999.99
2017 11 04    4.0e+07  1.5e+04  3.5e+03   3.1e+08    1.8e+06          -999.99
2017 11 05    3.1e+07  1.5e+04  3.3e+03   3.2e+08    2.7e+06          -999.99
2017 11 06    9.5e+06  1.5e+04  3.6e+03   3.3e+08    3.5e+06          -999.99
2017 11 07    1.8e+06  1.5e+04  3.5e+03   9.8e+07    5.2e+05          -999.99
2017 11 08    3.9e+07  1.5e+04  3.2e+03   1.8e+09    4.8e+07          -999.99
2017 11 09    3.3e+07  1.5e+04  3.5e+03   5.5e+09    4.7e+08          -999.99
2017 11 10    2.6e+07  1.6e+04  3.3e+03   5.1e+09    4.5e+08          -999.99
2017 11 11    2.1e+07  1.5e+04  3.4e+03   9.5e+09    9.5e+08          -999.99
2017 11 12    2.6e+07  1.6e+04  3.5e+03   8.3e+09    9.6e+08          -999.99
2017 11 13    1.1e+07  1.5e+04  3.4e+03   7.6e+09    1.0e+09          -999.99
2017 11 14    1.1e+07  1.5e+04  3.7e+03   2.8e+09    2.3e+08          -999.99
2017 11 15    4.9e+07  1.6e+04  3.6e+03   1.8e+09    1.1e+08          -999.99
2017 11 16    3.4e+07  1.6e+04  3.5e+03   1.1e+09    3.5e+07          -999.99
2017 11 17    3.6e+07  1.6e+04  3.6e+03   3.3e+09    8.7e+07          -999.99
2017 11 18    2.8e+06  1.5e+04  3.8e+03   2.8e+09    8.3e+07          -999.99
2017 11 19    2.7e+06  1.6e+04  3.9e+03   1.6e+09    4.9e+07          -999.99
2017 11 20    2.9e+06  1.6e+04  3.8e+03   1.4e+09    6.5e+07          -999.99
2017 11 21    2.8e+07  1.5e+04  3.5e+03   7.7e+08    4.7e+06          -999.99
2017 11 22    2.6e+07  1.6e+04  3.6e+03   4.4e+09    9.0e+07          -999.99
2017 11 23    1.6e+07  1.6e+04  3.9e+03   4.3e+09    1.6e+08          -999.99
2017 11 24    6.0e+06  1.6e+04  4.2e+03   2.0e+09    7.8e+07          -999.99
2017 11 25    1.6e+07  1.5e+04  3.3e+03   8.0e+08    1.3e+07          -999.99
2017 11 26    3.9e+06  1.6e+04  3.9e+03   8.3e+08    1.9e+07          -999.99
2017 11 27    4.7e+07  1.6e+04  3.5e+03   6.7e+08    1.2e+07          -999.99
2017 11 28    5.2e+06  1.6e+04  3.8e+03   4.7e+08    5.8e+06          -999.99
2017 11 29    2.8e+07  1.6e+04  3.5e+03   4.3e+08    6.5e+06          -999.99
2017 11 30    5.3e+07  1.4e+04  3.2e+03   3.4e+08    3.6e+06          -999.99
2017 12 01    8.4e+06  1.5e+04  3.5e+03   8.1e+08    7.0e+06          -999.99
2017 12 02    5.8e+07  1.6e+04  3.7e+03   8.7e+08    7.7e+06          -999.99
2017 12 03    2.4e+07  1.6e+04  3.8e+03   7.6e+08    7.5e+06          -999.99
2017 12 04    9.9e+06  1.6e+04  4.1e+03   4.4e+08    4.6e+06          -999.99
2017 12 05    1.0e+08  1.7e+04  3.7e+03   9.6e+08    5.3e+06          -999.99
2017 12 06    4.2e+07  1.5e+04  3.5e+03   3.8e+09    7.3e+07          -999.99
2017 12 07    3.2e+08  1.5e+04  3.7e+03   4.4e+09    1.3e+08          -999.99
2017 12 08    1.3e+07  1.5e+04  3.6e+03   4.1e+09    1.4e+08          -999.99
2017 12 09    2.1e+07  1.6e+04  3.8e+03   3.8e+09    1.4e+08          -999.99
2017 12 10    1.4e+08  1.8e+04  4.1e+03   3.2e+09    1.3e+08          -999.99
2017 12 11    4.3e+07  1.5e+04  3.6e+03   8.2e+08    1.5e+07          -999.99
2017 12 12    6.9e+05  1.6e+04  3.5e+03   7.3e+08    6.9e+06          -999.99
2017 12 13    3.0e+05  1.5e+04  3.6e+03   9.2e+08    6.3e+06          -999.99
2017 12 14    3.7e+05  1.6e+04  3.5e+03   1.5e+09    1.0e+07          -999.99
2017 12 15    7.7e+05  1.6e+04  3.8e+03   1.3e+09    1.1e+07          -999.99
2017 12 16    8.0e+05  1.6e+04  3.7e+03   9.6e+08    8.8e+06          -999.99
2017 12 17    2.9e+06  1.6e+04  3.5e+03   1.5e+09    1.5e+07          -999.99
2017 12 18    4.5e+06  1.6e+04  3.6e+03   5.5e+09    1.7e+08          -999.99
2017 12 19    1.8e+06  1.6e+04  3.7e+03   5.9e+09    1.7e+08          -999.99
2017 12 20    1.6e+06  1.6e+04  3.7e+03   4.7e+09    1.7e+08          -999.99
2017 12 21    1.3e+06  1.6e+04  3.8e+03   4.2e+09    1.4e+08          -999.99
2017 12 22    1.9e+06  1.6e+04  4.0e+03   3.7e+09    1.4e+08          -999.99
2017 12 23    2.0e+06  1.6e+04  4.0e+03   2.3e+09    5.6e+07          -999.99
2017 12 24    1.5e+06  1.6e+04  3.4e+03   6.8e+08    9.3e+06          -999.99
2017 12 25    6.1e+05  1.5e+04  3.6e+03   9.7e+08    5.1e+06          -999.99
2017 12 26    6.5e+05  1.6e+04  3.5e+03   1.7e+09    1.8e+07          -999.99
2017 12 27    6.0e+05  1.6e+04  3.2e+03   3.6e+09    5.1e+07          -999.99
2017 12 28    3.0e+05  1.6e+04  3.7e+03   2.9e+09    3.3e+07          -999.99
2017 12 29    3.6e+05  1.6e+04  3.8e+03   2.8e+09    4.0e+07          -999.99
2017 12 30    4.3e+05  1.5e+04  3.5e+03   2.1e+09    3.0e+07          -999.99
2017 12 31    7.7e+05  1.6e+04  3.7e+03   1.6e+09    2.6e+07          -999.99
