:Product: Daily Particle Data        2016_DPD.txt
:Issued: 02 Jan 2017
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                           2016 Daily Particle Data
#
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2016 10 13    2.3e+06  1.4e+04  3.0e+03   2.3e+08    5.6e+06          -999.99
2016 10 14    2.6e+06  1.5e+04  3.6e+03   2.6e+09    6.3e+07          -999.99
2016 10 15    1.7e+06  1.4e+04  3.5e+03   3.4e+09    1.3e+08          -999.99
2016 10 16    2.6e+06  1.4e+04  3.3e+03   3.5e+09    1.5e+08          -999.99
2016 10 17    5.3e+06  1.3e+04  3.1e+03   6.6e+09    5.8e+08          -999.99
2016 10 18    3.4e+06  1.4e+04  3.3e+03   1.0e+10    1.5e+09          -999.99
2016 10 19    3.3e+06  1.4e+04  3.5e+03   9.8e+09    1.3e+09          -999.99
2016 10 20    3.5e+06  1.4e+04  3.4e+03   1.0e+10    1.7e+09          -999.99
2016 10 21    4.7e+06  1.4e+04  3.6e+03   9.3e+09    1.6e+09          -999.99
2016 10 22    4.2e+06  1.5e+04  3.8e+03   5.8e+09    5.5e+08          -999.99
2016 10 23    2.2e+06  1.5e+04  3.4e+03   1.6e+09    6.3e+07          -999.99
2016 10 24    3.4e+06  1.5e+04  3.4e+03   4.2e+08    1.3e+07          -999.99
2016 10 25    4.2e+06  1.4e+04  3.2e+03   8.3e+08    1.2e+07          -999.99
2016 10 26    1.8e+07  1.5e+04  3.1e+03   6.0e+09    6.2e+08          -999.99
2016 10 27    1.3e+07  1.4e+04  3.4e+03   7.9e+09    1.2e+09          -999.99
2016 10 28    3.7e+06  1.4e+04  3.3e+03   8.3e+09    1.4e+09          -999.99
2016 10 29    5.5e+06  1.4e+04  3.3e+03   2.5e+09    2.0e+08          -999.99
2016 10 30    5.2e+06  1.4e+04  3.1e+03   4.2e+09    3.3e+08          -999.99
2016 10 31    4.5e+06  1.4e+04  3.4e+03   9.5e+09    9.2e+08          -999.99
2016 11 01    3.9e+06  1.4e+04  3.4e+03   6.4e+09    6.4e+08          -999.99
2016 11 02    2.4e+06  1.4e+04  3.5e+03   2.7e+09    2.0e+08          -999.99
2016 11 03    5.2e+06  1.4e+04  3.2e+03   2.1e+09    1.2e+08          -999.99
2016 11 04    3.4e+06  1.4e+04  3.2e+03   9.7e+08    5.9e+07          -999.99
2016 11 05    2.1e+06  1.5e+04  3.7e+03   1.7e+09    1.7e+08          -999.99
2016 11 06    1.2e+06  1.5e+04  3.6e+03   1.6e+09    1.3e+08          -999.99
2016 11 07    1.7e+06  1.5e+04  3.5e+03   1.3e+09    5.0e+07          -999.99
2016 11 08    1.9e+06  1.4e+04  3.5e+03   1.1e+09    4.8e+07          -999.99
2016 11 09    9.8e+05  1.4e+04  3.3e+03   2.7e+08    8.4e+06          -999.99
2016 11 10    1.4e+06  1.4e+04  3.3e+03   1.2e+08    5.6e+06          -999.99
2016 11 11    7.1e+05  1.5e+04  3.8e+03   2.4e+08    1.4e+05          -999.99
2016 11 12    4.5e+06  1.4e+04  3.4e+03   1.1e+09    2.8e+06          -999.99
2016 11 13    3.3e+06  1.4e+04  3.1e+03   5.6e+09    3.1e+08          -999.99
2016 11 14    3.1e+06  1.5e+04  3.5e+03   6.3e+09    5.0e+08          -999.99
2016 11 15    1.9e+06  1.4e+04  3.5e+03   7.9e+09    7.1e+08          -999.99
2016 11 16    2.2e+06  1.5e+04  3.6e+03   6.5e+09    6.2e+08          -999.99
2016 11 17    1.5e+06  1.5e+04  3.5e+03   4.4e+09    2.6e+08          -999.99
2016 11 18    9.6e+05  1.5e+04  3.7e+03   3.6e+09    2.3e+08          -999.99
2016 11 19    1.4e+06  1.5e+04  3.4e+03   2.8e+09    2.0e+08          -999.99
2016 11 20    1.1e+06  1.5e+04  3.6e+03   1.6e+09    8.6e+07          -999.99
2016 11 21    1.3e+06  1.4e+04  3.6e+03   1.1e+09    3.8e+07          -999.99
2016 11 22    1.2e+06  1.4e+04  3.2e+03   2.4e+08    4.4e+06          -999.99
2016 11 23    7.5e+05  1.4e+04  3.2e+03   1.4e+09    8.6e+06          -999.99
2016 11 24    2.2e+06  1.4e+04  3.2e+03   1.3e+09    9.5e+06          -999.99
2016 11 25    2.3e+06  1.4e+04  3.3e+03   5.4e+09    2.7e+08          -999.99
2016 11 26    1.7e+06  1.4e+04  3.2e+03   9.9e+09    1.0e+09          -999.99
2016 11 27    9.3e+05  1.4e+04  3.3e+03   8.4e+09    9.7e+08          -999.99
2016 11 28    2.3e+06  1.4e+04  3.3e+03   8.3e+09    1.1e+09          -999.99
2016 11 29    1.4e+06  1.5e+04  3.5e+03   7.0e+09    8.7e+08          -999.99
2016 11 30    1.6e+06  1.4e+04  3.4e+03   6.4e+09    8.6e+08          -999.99
2016 12 01    2.5e+06  1.4e+04  3.5e+03   5.0e+09    6.7e+08          -999.99
2016 12 02    1.3e+06  1.4e+04  3.4e+03   4.6e+09    4.5e+08          -999.99
2016 12 03    1.5e+06  1.5e+04  3.6e+03   3.3e+09    3.0e+08          -999.99
2016 12 04    2.2e+06  1.4e+04  3.6e+03   2.4e+09    2.4e+08          -999.99
2016 12 05    2.0e+06  1.5e+04  3.5e+03   1.3e+09    7.3e+07          -999.99
2016 12 06    1.5e+06  1.4e+04  3.5e+03   6.1e+08    2.6e+07          -999.99
2016 12 07    2.3e+06  1.5e+04  3.6e+03   3.9e+08    1.5e+07          -999.99
2016 12 08    1.3e+06  1.5e+04  3.4e+03   8.1e+08    3.2e+06          -999.99
2016 12 09    2.0e+06  1.5e+04  3.4e+03   3.2e+09    7.4e+07          -999.99
2016 12 10    1.4e+06  1.4e+04  3.4e+03   5.9e+09    2.8e+08          -999.99
2016 12 11    2.8e+06  1.5e+04  3.6e+03   8.0e+09    7.2e+08          -999.99
2016 12 12    1.3e+06  1.5e+04  3.6e+03   6.6e+09    5.4e+08          -999.99
2016 12 13    8.1e+05  1.5e+04  3.6e+03   5.3e+09    4.4e+08          -999.99
2016 12 14    1.1e+06  1.5e+04  3.8e+03   5.3e+09    5.0e+08          -999.99
2016 12 15    1.1e+06  1.5e+04  4.2e+03   4.9e+09    4.7e+08          -999.99
2016 12 16    1.3e+06  1.5e+04  3.9e+03   4.2e+09    4.0e+08          -999.99
2016 12 17    1.6e+06  1.5e+04  3.8e+03   3.0e+09    2.8e+08          -999.99
2016 12 18    6.2e+05  1.4e+04  3.6e+03   5.1e+08    9.0e+06          -999.99
2016 12 19    4.0e+05  1.4e+04  3.2e+03   5.5e+08    1.3e+07          -999.99
2016 12 20    5.2e+05  1.5e+04  3.7e+03   3.6e+08    6.5e+06          -999.99
2016 12 21    3.5e+06  1.4e+04  3.3e+03   9.4e+08    9.5e+06          -999.99
2016 12 22    2.9e+06  1.5e+04  3.4e+03   4.3e+09    1.8e+08          -999.99
2016 12 23    5.1e+06  1.5e+04  3.3e+03   6.5e+09    5.9e+08          -999.99
2016 12 24    2.5e+06  1.4e+04  3.5e+03   8.0e+09    8.9e+08          -999.99
2016 12 25    4.5e+06  1.4e+04  3.2e+03   6.3e+09    7.0e+08          -999.99
2016 12 26    2.8e+06  1.4e+04  3.2e+03   6.6e+09    6.8e+08          -999.99
2016 12 27    1.4e+06  1.4e+04  3.3e+03   6.5e+09    6.2e+08          -999.99
2016 12 28    1.3e+06  1.4e+04  3.5e+03   6.5e+09    5.8e+08          -999.99
2016 12 29    1.1e+06  1.6e+04  4.1e+03   6.1e+09    7.0e+08          -999.99
2016 12 30    1.6e+06  1.5e+04  3.7e+03   3.7e+09    4.7e+08          -999.99
2016 12 31    2.1e+06  1.5e+04  3.7e+03   1.2e+09    1.2e+08          -999.99
